tic,datadate,conm,gvkey,iid,cusip,exchg,curcdd,prcod,prchd,prcld,prccd,cshtrd,cshoc,ajexdi,trfd,trfd_imputed,adj_close,total_ret_idx,ret_price,ret_total
XLRE,2026-05-11,"STATE STREET REAL ESTT SL SC",026314,01,81369Y860,17,USD,44.39000000,44.81000000,44.39000000,44.57000000,4172326.00000000,178600000,1.00000000,1.43591419,0,44.57000000,63.99869545,0.00360279,0.00360279
XLRE,2026-05-12,"STATE STREET REAL ESTT SL SC",026314,01,81369Y860,17,USD,44.52000000,44.69000000,44.27500000,44.58000000,5022438.00000000,177650000,1.00000000,1.43591419,0,44.58000000,64.01305459,0.00022437,0.00022437
XLRE,2026-05-13,"STATE STREET REAL ESTT SL SC",026314,01,81369Y860,17,USD,44.23000000,44.42000000,43.93500000,44.21000000,5241916.00000000,177750000,1.00000000,1.43591419,0,44.21000000,63.48176634,-0.00829969,-0.00829969
XLRE,2026-05-14,"STATE STREET REAL ESTT SL SC",026314,01,81369Y860,17,USD,44.33000000,44.38500000,43.87000000,43.91000000,4745759.00000000,179500000,1.00000000,1.43591419,0,43.91000000,63.05099208,-0.00678580,-0.00678580
XLRE,2026-05-15,"STATE STREET REAL ESTT SL SC",026314,01,81369Y860,17,USD,43.81000000,43.84000000,43.17000000,43.23000000,4936516.00000000,179100000,1.00000000,1.43591419,0,43.23000000,62.07457043,-0.01548622,-0.01548622
XLRE,2026-05-18,"STATE STREET REAL ESTT SL SC",026314,01,81369Y860,17,USD,43.29000000,43.78500000,43.29000000,43.75000000,6060934.00000000,179400000,1.00000000,1.43591419,0,43.75000000,62.82124581,0.01202868,0.01202868
XLRE,2026-05-19,"STATE STREET REAL ESTT SL SC",026314,01,81369Y860,17,USD,43.71500000,44.03500000,43.51000000,43.94000000,4328260.00000000,179400000,1.00000000,1.43591419,0,43.94000000,63.09406951,0.00434286,0.00434286
XLRE,2026-05-20,"STATE STREET REAL ESTT SL SC",026314,01,81369Y860,17,USD,43.86000000,44.45000000,43.86000000,44.43000000,3861378.00000000,179350000,1.00000000,1.43591419,0,44.43000000,63.79766746,0.01115157,0.01115157
XLRE,2026-05-21,"STATE STREET REAL ESTT SL SC",026314,01,81369Y860,17,USD,44.27000000,44.54000000,43.98500000,44.50000000,3567847.00000000,178900000,1.00000000,1.43591419,0,44.50000000,63.89818146,0.00157551,0.00157551
XLRE,2026-05-22,"STATE STREET REAL ESTT SL SC",026314,01,81369Y860,17,USD,44.63000000,44.82000000,44.28000000,44.56000000,3829728.00000000,179250000,1.00000000,1.43591419,0,44.56000000,63.98433631,0.00134831,0.00134831
